ilan_no;baslik;fiyat;konut_tipi;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;konum;url
129504-1236;Satılık Daire - Ankara / Çankaya / Emek Mah.;13800000;Satılık Daire;3 +                          1;160;3. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;İlhanlar Gayrimenkul;15.02.2026;Ankara / Çankaya / Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-satilik/daire/129504-1236
80334-957;Satılık Daire - Ankara / Sincan / Atatürk Mah.;3650000;Satılık Daire;3 +                          1;125;Ara Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Hedef Emlak;15.02.2026;Ankara / Sincan / Atatürk Mah.;https://www.hepsiemlak.com/ankara-sincan-ataturk-satilik/daire/80334-957
129057-479;Satılık Daire - Ankara / Altındağ / Aydınlıkevler Mah.;4475000;Satılık Daire;3 +                          1;100;Giriş Katı;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Hoşcan Emlak;15.02.2026;Ankara / Altındağ / Aydınlıkevler Mah.;https://www.hepsiemlak.com/ankara-altindag-aydinlikevler-satilik/daire/129057-479
113784-2165;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;4769000;Satılık Daire;3 +                          1;145;2. Kat;12;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-2165
15111-577;Satılık Daire - Ankara / Çankaya / İlkadım Mah.;7950000;Satılık Daire;3 +                          1;130;3. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Hg Gayrimenkul;15.02.2026;Ankara / Çankaya / İlkadım Mah.;https://www.hepsiemlak.com/ankara-cankaya-ilkadim-satilik/daire/15111-577
15111-514;Satılık Daire - Ankara / Çankaya / Güvenevler Mah.;6500000;Satılık Daire;2 +                          1;100;4. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Hg Gayrimenkul;15.02.2026;Ankara / Çankaya / Güvenevler Mah.;https://www.hepsiemlak.com/ankara-cankaya-guvenevler-satilik/daire/15111-514
165500-37;Satılık Daire - Ankara / Sincan / Plevne Mah.;2524000;Satılık Daire;3 +                          1;115;Yüksek Giriş;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Köksal Grup Emlak;14.02.2026;Ankara / Sincan / Plevne Mah.;https://www.hepsiemlak.com/ankara-sincan-plevne-satilik/daire/165500-37
36851-34272;Satılık Daire - Ankara / Çankaya / Metin Akkuş Mah.;2990000;Satılık Daire;2 +                          1;95;Kot 1;27;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Levent Emlak;15.02.2026;Ankara / Çankaya / Metin Akkuş Mah.;https://www.hepsiemlak.com/ankara-cankaya-metin-akkus-satilik/daire/36851-34272
130170-440;Satılık Daire - Ankara / Mamak / Cengizhan Mah.;6145000;Satılık Daire;3 +                          1;160;1. Kat;8;Kombi (Doğalgaz);Kat Mülkiyeti;1;10;Evet;Boş;Kale Gayrimenkul;15.02.2026;Ankara / Mamak / Cengizhan Mah.;https://www.hepsiemlak.com/ankara-mamak-cengizhan-satilik/daire/130170-440
130170-491;Satılık Daire - Ankara / Mamak / Akşemsettin Mah.;4449000;Satılık Daire;2 +                          1;90;9. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;Kale Gayrimenkul;15.02.2026;Ankara / Mamak / Akşemsettin Mah.;https://www.hepsiemlak.com/ankara-mamak-aksemsettin-satilik/daire/130170-491
113784-2150;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;4389000;Satılık Daire;3 +                          1;140;2. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-2150
113784-2151;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;11499000;Satılık Daire;4 +                          1;210;3. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;18;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/113784-2151
113784-2112;Satılık Daire - Ankara / Keçiören / Etlik Mah.;3979000;Satılık Daire;3 +                          1;140;3. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;6;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Etlik Mah.;https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/113784-2112
113784-1866;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;3749000;Satılık Daire;3 +                          1;135;1. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/113784-1866
113784-2128;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;5349000;Satılık Daire;3 +                          1;170;1. Kat;4;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Cadde Park Emlak;15.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/113784-2128
