ilan_no;kategori;fiyat;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;ilce;mahalle;url
9228-43;Kiralık;25000;3 +                              1;115;3. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Aydınlık Emlak;2026/05/11;Çankaya;Mürsel Uluç Mah.;https://www.hepsiemlak.com/ankara-cankaya-mursel-uluc-kiralik/daire/9228-43
7464-7033;Kiralık;12500;2 +                              1;78;3. Kat;40;Kombi (Doğalgaz);Kat Mülkiyeti;1;5 Katlı;Evet;Boş;Zerre Emlak;2026/05/11;Altındağ;Örnek Mah.;https://www.hepsiemlak.com/ankara-altindag-ornek-kiralik/daire/7464-7033
33976-792;Kiralık;50000;3 +                              1;130;1. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Malika Emlak;2026/04/25;Çankaya;Ayrancı Mah.;https://www.hepsiemlak.com/ankara-cankaya-ayranci-kiralik/daire/33976-792
33976-677;Kiralık;43000;3 +                              1;110;3. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Malika Emlak;2026/05/06;Çankaya;Güvenevler Mah.;https://www.hepsiemlak.com/ankara-cankaya-guvenevler-kiralik/daire/33976-677
9595-2510;Kiralık;36000;3 +                              1;120;3. Kat;45;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Karakuş Emlak;2026/05/11;Çankaya;Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/9595-2510
126476-311;Kiralık;26000;2 +                              1;85;Yüksek Giriş;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Doğuş Bey Gayrimenkul;2026/05/11;Mamak;Balkiraz Mah.;https://www.hepsiemlak.com/ankara-mamak-balkiraz-kiralik/daire/126476-311
126476-306;Kiralık;20000;3 +                              1;110;3. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Doğuş Bey Gayrimenkul;2026/05/11;Mamak;Balkiraz Mah.;https://www.hepsiemlak.com/ankara-mamak-balkiraz-kiralik/daire/126476-306
16602-1881;Kiralık;65000;4 +                              1;179;1. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;5 Katlı;Evet;Boş;Sweet Home Real Estate Agency;2026/05/11;Çankaya;Aziziye Mah.;https://www.hepsiemlak.com/ankara-cankaya-aziziye-kiralik/daire/16602-1881
43511-8378;Kiralık;24999;3 +                              1;110;Ara Kat;32;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Reco Suit Emlak;2026/05/11;Çankaya;Osman Temiz Mah.;https://www.hepsiemlak.com/ankara-cankaya-osman-temiz-kiralik/daire/43511-8378
112780-190;Kiralık;45000;3 +                              1;160;Ara Kat;50;Kombi (Doğalgaz);Kat Mülkiyeti;1;7 Katlı;Evet;Boş;İncesu Emlak;2026/05/09;Çankaya;Korkutreis Mah.;https://www.hepsiemlak.com/ankara-cankaya-korkutreis-kiralik/daire/112780-190
130361-1688;Kiralık;25000;3 +                              1;130;1. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Neva Gayrimenkul;2026/05/11;Sincan;29 Ekim Mah.;https://www.hepsiemlak.com/ankara-sincan-29-ekim-kiralik/daire/130361-1688
4744-12266;Kiralık;50000;3 +                              1;120;Zemin;26;Kombi (Doğalgaz);Kat Mülkiyeti;1;10 Katlı;Evet;Boş;Remax Can (ümitköy);2026/05/07;Çankaya;Ümit Mah.;https://www.hepsiemlak.com/ankara-cankaya-umit-kiralik/daire/4744-12266
4744-12273;Kiralık;38000;3 +                              1;120;3. Kat;21;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Remax Can (ümitköy);2026/05/06;Çankaya;Mutlukent Mah.;https://www.hepsiemlak.com/ankara-cankaya-mutlukent-kiralik/daire/4744-12273
